Type,n,Number,rho,delta,Time,LB,UB,GAP,Max|O|,TreeSize
Uniform,10,9,0.25,0.25,1895.4447231292725,30.060096571211222,30.067912626588274,0.02599467237423321,2,34
Uniform,10,10,0.25,0.25,843.18399310112,34.26340931058213,34.28026736219869,0.0491771299168914,10,41
Uniform,10,1,0.5,0.5,1604.4197270870209,31.833129515251233,31.845059873980905,0.037463766050002095,9,39
Uniform,10,2,0.5,0.5,2593.224400997162,32.246656051482326,32.26155511111288,0.04618208756284901,9,30
Uniform,10,3,0.5,0.5,3244.0532319545746,26.821391730977936,26.837440116059458,0.05979849423834775,13,39
Uniform,10,4,0.5,0.5,2861.07368683815,27.297634194548426,27.3104996755813,0.04710818617639077,6,19
Uniform,10,5,0.5,0.5,2363.78702378273,28.437516486653806,28.453633026807893,0.05664141425772471,18,60
Uniform,10,6,0.5,0.5,970.4833769798279,34.8380652306315,34.86614049375559,0.08052300233550498,16,43
Uniform,10,7,0.5,0.5,1692.850900888443,33.925974430459426,33.93865442907483,0.0373615242817088,5,19
Uniform,10,8,0.5,0.5,1566.916562795639,32.21708520606962,32.22969322055821,0.039119250693176365,6,26
Uniform,10,9,0.5,0.5,1720.5147740840912,28.325077637258744,28.339044751461216,0.04928576218770486,4,26
Uniform,10,10,0.5,0.5,892.58025598526,31.99347372912653,32.02429170080035,0.09623310942126395,10,26
Uniform,10,1,1.0,1.0,833.090411901474,29.660546103724336,29.704964121992276,0.14953062419306257,9,18
Uniform,10,2,1.0,1.0,750.2354581356049,29.671748411298218,29.71915249261154,0.1595068410012898,6,13
Uniform,10,3,1.0,1.0,2241.3864979743958,23.122182203615257,23.145293300877437,0.09985225489151392,9,13
Uniform,10,4,1.0,1.0,2523.7636981010437,24.2880425048441,24.317482538068745,0.12106530015414774,11,33
Uniform,10,5,1.0,1.0,1569.0502347946167,25.27047476616004,25.28886019179891,0.07270167773253122,16,34
Uniform,10,6,1.0,1.0,918.7506639957428,31.061190314539633,31.1185170083917,0.18422052000937614,24,50
Uniform,10,7,1.0,1.0,1919.272835969925,31.54923813115733,31.57151208643909,0.07055080295417729,4,13
Uniform,10,8,1.0,1.0,2890.749729156494,29.99043362352947,30.01087700898634,0.0681199201567834,4,8
Uniform,10,9,1.0,1.0,1134.9288251399994,25.209814728662778,25.226417011977706,0.06581308517592827,7,19
Uniform,10,10,1.0,1.0,3280.356503009796,28.388437944814342,28.41522409192457,0.09426688673499416,12,19
Uniform,12,1,0.25,0.25,3459.2143189907074,36.46121895870218,36.47171207923803,0.02877057296638842,12,68
Uniform,12,2,0.25,0.25,1646.603882074356,47.016332129778135,47.031171692518825,0.0315526111867002,14,116
Uniform,12,3,0.25,0.25,2582.197027206421,35.13610081295178,35.14640380103187,0.029314487304073173,16,103
Uniform,12,4,0.25,0.25,2782.371127843857,35.32244594620778,35.3326570980219,0.028900039376575083,17,109
Uniform,12,5,0.25,0.25,997.9736800193787,40.246005569797106,40.260272290560756,0.035436225221446314,53,227
Uniform,12,6,0.25,0.25,2183.946835041046,35.86358579471704,35.87327012066029,0.026995938509854697,5,53
Uniform,12,7,0.25,0.25,3046.545180082321,34.49361820677129,34.5020235523873,0.024361891711219462,7,49
Uniform,12,8,0.25,0.25,2899.7315249443054,40.53600880657109,40.547200217222425,0.02760094554341579,14,149
Uniform,12,9,0.25,0.25,638.5411159992218,34.84719753680546,34.86660735454218,0.05566878801643363,9,84
